text,label
Best price for the quantity!  I love the look and feel of this pillow.,FALSE
I voluntarily review an ARC. This book has the potential to be a great series!  I was given an ARC in exchange for an honest review. The author is a wonderful writer and I look forward to reading her books in the future.,FALSE
"It was a book that I will read again and again. The story is told from the point of view of a woman, both in her own words, and of her husband.",FALSE
I actually bought two of these for my son's third birthday.  He loves the music and the colors.  He's also a bit of a pain to figure out what it is that makes it so great.,FALSE
"When I open a can, it's a very thin layer of chicken that my cats like to eat.",FALSE
Another great book fro m reading. The characters are well developed and the story is well told. The story is well written and the story is well written,FALSE
Excellent gift for any young kid. The pieces are sturdy and the puzzle is well made.My son is 6 and loves this toy.  He is the grandson of a great teacher and he loves it.  It is a very simple set.  My son is still very interested in the puzzle.  He is also the youngest of the kids to have it.  He has already started making the pieces.  I highly recommend it to any young kid.Love this toy!  It's very soft and my son,FALSE
"I've commuted with this bag for a couple of weeks and I'm still happy with the way it's holding up. The bag itself is very sturdy, and the zipper is very sturdy. The only complaint I have is that it's a little long for me to carry in my purse. I'll have to order another one for my phone and it will fit perfectly. I'll just have to order another bag for my AR. Great product!Love this helmet for the price!  I wore it on the road for a few hours and it was a great helmet. It has a nice deep blue tint that doesn't fade at all. It has a lot of grip and allows you to stay in place. It also has a nice deep blue tint that is nice for a warm day. It also has a nice deep blue tint that doesn't fade when you're wearing it. It's very comfortable and is a good value for the money.",FALSE
"I bought a Hoover Max vacuum for my son's school. I also have a vacuum for my other two kids. I am very happy with the purchase. This is a great fan. It is quiet and does a great job of keeping the water cool. I have had no issues with it. I have also had it for several years. I am very happy with this purchase. I just wish there was a way to remove the metal covering. I will buy another one. I got this for my son's old house. He loved it and it was great!  We have been using it daily for several weeks now and it has worked perfectly. It is a very good size for his small bedroom, but I would recommend it to anyone. Very nice for the price. Love it!Easy to clean. Love the design of this pan. We use it on our sink and it cleans up easily. I would recommend. My daughter loves this pillow.",FALSE
"Heads up my fellow preggo, it's a very comfortable fit.  I have a wide foot and a wide foot bed and I am a 32D, so I'm a bit large but it's a little snug in the heel.  I'm going to use it as a shoe with no arch support.

I did get a size 10 and it fit perfectly.  I will say that I had to use a size 8 to get it on.  I wear a medium in shoes and I got a size 10.  I really like the fit of this shoe.  I'm glad I got a size 10.  It fits perfectly and looks great.  I am very pleased with this purchase and will definitely be purchasing another pair in the future.Very nice shirt. Very nice. Love it!Nice fit, very comfortable, with good support. I wear a size 8.5, so I ordered a 9. I ordered a 9.5 and it fits perfectly. My wife and I both liked it.The material is soft and comfortable.  The color is exactly as I expected.  It's not as dark as the picture would suggest, but it's still nice.  The heel is a little loose on my feet, but it's not a problem.  I like that the shoe has a small zipper that allows you to keep the foot warm.  The material is very soft and comfortable.  The quality is nice.I love this shirt, but I have a lot of issues with my feet, so I'm very sad I ordered a size up. The fit is fine and the material is great, but",FALSE
"UPDATED 11/25/12: I would no longer recommend this product.  I will keep my review for a couple months.  I had a similar model before and used it a couple of times, and now it's gone.  I would definitely buy this again.I bought this to replace a broken one I bought a year ago. I did not want the old one to become a complete mess. I wanted a great, functional, inexpensive, and strong metal dishwasher safe. I bought this for my son to use on his kitchen counter. He loves it, he loves it, and he loves it. I am very pleased with this purchase.

I read some reviews that said it did not work well for washing dishes. I thought I would try this to see if it would work for me. It has worked well for the last 3-4 weeks and I am very pleased. I would suggest purchasing this one to replace a",FALSE
"These are great and fit perfect. The only problem is that they are a little too large. I'm 6'5"" and wearing a 32D, and the",FALSE
"I really liked these sunglasses. The wide, comfortable fit is nice for my 40 year old.",FALSE
This book was good. Even though it was a long book I did not feel like I was missing out.,FALSE
I wish that this product had an easy to use instructions.  I also wish the instructions were more,FALSE
"Not for strong chewers.  Not for chewers.  I will not buy this product again.Great product. Great price. I am a small dog, and this collar is very large.  It is very easy to put on, and it is adjustable.  I ordered two for my two small dogs, one medium",FALSE
"Not super sturdy but I use it everyday.  I've also used it for a few hours.I bought this for a friend, and she is a very tall",FALSE
"I purchased 5 speaker sets (iPod, iPod touch, Mac Mini, etc) and one speaker set (iPod Touch) for my desktop computer.  This speaker set is made of high quality material and is in good shape.  The construction is very good and the build quality is great.  I have also purchased 2 of these speakers to replace one I received from a local electronics store.  This speaker set is a great addition to my desktop computer.This is a great product for the price. It works well, but I use it with my ipod and it does not work with my ipod. I have used it with a couple of my other ipod's, but I find it frustrating to have to push it into my ipod when it's not even there. It has a good little cable that I have used with my ipod. I would definitely recommend this product.Works as advertised.This is my second pair of Samsung Galaxy Note II cases.  This one is the best looking.  The only problem I have with it is the color.  The color is very very dark.  The two I have had are a couple of the Galaxy S4 and the Galaxy S6.  I am not sure if this is a problem with the color or not.  I will update if I get a chance.  I bought this case because it was the best looking and I am glad I did.  I am a great fan of Samsung products and this is my second pair.Works great, but not as good as I expected. I have been using a mouse with this mouse for",FALSE
"This is my first headphones, and I am very pleased with them.  They are very comfortable and sound great.  The ear cushions are very comfortable and the sound is very clear.  They are comfortable and sound good.  The size is perfect and the volume level is very good.  The bottom line is the headphones are a great value and they are a great deal.  I would recommend them to anyone who is looking for a sound bar with a good sound quality.I got this to replace my iMac, but I've had issues with it, not just the front and back ports, but the keyboard.  It's been working flawlessly for over a year, and I've used it to type on my iPod Touch and to type on my Kindle Fire.  I've noticed it's not the best looking keyboard, but I haven't had any issues with it.  I've had the keyboard for a few months and it still works great.  I'm not sure why the keyboard has had issues with it, but it's",FALSE
"As this is common item, it is a very comfortable item.  My dog loves it and we have two small dogs.  The bowls are made of plastic, so it is easy to clean.  It is a good size for dogs that",FALSE
"I have 4 boys and this is the only one they've got left that really loves this toy. It's not the best toy, but it is the best toy in the house. We bought it for our son's 3rd birthday party and it is still going strong. The kids love it. It's a good toy for them to play with and it",FALSE
"I am not real impressed.  I have an iPod touch 2nd generation that is about as powerful as a pair of ear buds.  I have used the TRS-80 and it is still working well.  I would like to see a better headphone with better sound.

I received this item as a discount and it is in no way influenced by the opinions expressed by the seller.",FALSE
"Bought it at 20% discount and it works fine.  I will keep my review for a couple months.  Great item!Works great.  The sound is great.  I used this with a 50"" AM/FM radio, and it worked great.  I used it for a long time before I got it",FALSE
Pearl man this women doesn't know what she wants anymore. I will admit that I was a little nervous about this book. The first part was good but the second part was a bit boring. I was confused about the relationship between the two main characters. This was a good read.I loved this book. I was hooked from the very beginning.,FALSE
"Loved the sound from the speakers. The only problem is that it's not really the bass, but the treble. The treble is very clear, and the",FALSE
Perfect!!!  You won't have to do the same with these.  I also like the fact,FALSE
