text,label
This one just keeps on pulling you in and has you wondering what now.  Employing a better proofreader would improve Ms. Edward's results.,TRUE
"These bulbs, though working and working well, are very bright. I also have a few of the other two bulbs that are rated for a very small light output, so it is not that bright. It is not a large beam, but it is very bright. The bulbs are not a very bright color, but it is a very low-energy type of light.",FALSE
"This is a really good starter kit, with lots of tools and a lot of options. The other two I had to replace, both with different basic tools, were great.",FALSE
I am very impressed with this lens and the quality. I will keep my review in order to share my opinion. ,FALSE
Love the look and the look of the lamp.  I will be purchasing more.Very nice.I bought this to replace the Schl,FALSE
This is a wonderful scratching post. The only problem is that it's too small for my dog.I bought this for a friend's cat and she is a huge fan of it. It is a great size and it is a perfect size for her. I use it on her for the first time in about a month,FALSE
"Poorly made, failed first time I used it.
Can not handle any torque at all without inside cable spinning in crimp connector.",TRUE
"Big bag, works fine. I use it as a treat. I will keep it for a few years.",FALSE
"what i wanted
great quality
check out some of the other reviews

and i hope i got this one.I bought this for",FALSE
"Robyn and Garrick have quite a history, with the latter being a member of the Rook team.

I had a lot of fun with this book and I'm definitely looking forward to reading the next one.

3.5 Stars

I received a free copy of this book in exchange for an honest review.This is the second book in the series and I love it! I love the characters and the plot! The two main characters are a perfect combination of fun and sexy. I loved the way the author used the language of romance and the fact that the author did a great job of making it work. The story flowed nicely and kept my interest! I am looking forward to reading more by this author. I hope there is more to come in the series!If you are looking for a little steamy fun, this is for you.

This is a cute story of two people who have been separated in love.

A few things that I liked about the story:

It's short and easy to read.

The characters are well developed.

I liked the story line.

I would recommend this book to anyone who likes a light read.

I have a problem with the length.

The story is told in one sitting.

The ending is a little long.",FALSE
"the top is felt, the bottom is the only area where I can feel my thumb. I'm not sure if it's a design design issue or not, but it seems to be pretty straight forward.

Update:

I was able to use it for some practice and it seemed to hold up",FALSE
"Something happens beyond 6 miles. I have an old stove that is still going strong. This is a great stove. I am using it for the colder months when it is not hot. I have been using it for a while and it is very effective. The only thing I would say is that it is heavier and I can't tell you how much lighter it is. I would recommend it to anyone. The only reason I gave it 5 stars is because it is very easy to clean. I have a small, very light-colored coffee pot in my basement with a lid on it that is very easy to clean. I have to get the lid off the pot and take the pot to the kitchen for cleaning. It is not very easy to clean. I don't know if I have used it for anything but my coffee pot is pretty small, but that does not mean that I will have to clean it. The stove is very light and the lid is very light.",FALSE
"I love that radio. It is a good brand too.

But it has some issues.

First it seemed to use a lot of juice. I seemed to be putting batteries in it every so often. That was not that much of a pain.

But I discovered that once a station was program into the radio there was no way to blank it out. All you can do is program another station in that pre-set. In other words there was no way to clear all or any of the pre-sets. I tried and tried all to no avail.

I am just not that thrilled with radio. I have seen gone back to the simply little Sony radio that costs about $30 or so. That bad boy is rugged, easy to use and lasts forever on one battery. The Sangean takes two.",TRUE
"Meh, clearly won't last more than a couple years. I will keep my old one as a gift.",FALSE
"The Double Feature DVD pack with House | House II shows as being full-screen on the website and on the product packaging but the videos are actually widescreen for both, AC-3/2.0, No Subtitles&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/House-Double-Feature-House-House-II-The-Second-Story/dp/B00KTFJ76O/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">House Double Feature (House, House II: The Second Story)</a>",TRUE
"Reluctant to watch subtitles, but this movie is an interesting addition to my collection of movies. Very good. I really enjoyed the movie.",FALSE
"I love this movie so much it hurts. Full disclosure, you have to love the type of comedy like Black Dynamite or Tim and Eric or it won't be for you. Half the people will love this film, half will hate it.",TRUE
Purchased for a replacement battery.  Works well.  Not too hot or too cold.  Works great.  Great price.  Bought 2 to replace the batteries.  They were pretty much identical. ,FALSE
"I wish I had read this book more than once. I really enjoyed this book. I just wanted to read more about the people, places and people that we met in the book. The story was well told and kept me engaged.I absolutely loved this book! I was given this book by a friend in exchange for an honest review.  I loved it!  I really love this series.  This author has a way of weaving a story that keeps you guessing and interested.  I highly recommend this book.  I have been hooked from the first page.  I read this series from beginning to end.  This book was a roller coaster of emotions that kept me on the edge of my seat and was a wonderful read.  This story was told from an emotional standpoint and I was able to see how the characters affected",FALSE
"the hip flask works fine, but the design is a bit of a mess. I'm not sure how",FALSE
The intended purpose of this tool is to provide a comfortable grip on your rifle. I have used this tool extensively in the field and have used it extensively on a number of hunting rifle and rifle pellets. I have been in the field a number of times,FALSE
"I read the first of this series and thought it was a good book, but I was disappointed.

I had a lot of fun with the characters and the storyline. I enjoyed that it was a little short.

I liked the ending. I liked that it had a bit of a bit of a romance to it, but I don't think I felt as if the story was ending.

The author did a good job of making it a good read for",FALSE
"My title really says it all. This edition was assigned because it was the around which the template for my course was written, and my school didn't care to rewrite the template based on the newer, more relevant edition. This was pure laziness on their part.

This edition mentions nothing newer than 2009, which, in the world advertising, is definitely ancient history. However, it's most unbearable trait was that it is wordy; the text could be cut by two thirds and not lose any valuable content. It spends a lot of time going over the same topics that it did in previous chapters. For a marketing text, you'd think the authors and publishers would have done a better job of taking their own skills to task and put forth a book that is more credible, engaging, and likable. It was all I could do just to keep my eyes open while reading it.

Tip to those reading it now: you only need to read the first one to two sentences of each paragraph to get the pertinent information. The rest of it is just filler.",TRUE
"Great book, great searies, very good characters, great writing. I will definitely read more by",FALSE
"These function well however they aren't ideal for fixtures where the bulb is visible. The light from these bulbs is concentrated from a small spot in the bulb and as such has an intense, bright light if it isn't covered with a shade or diffuser. Also, the bottom half of the bulb is white plastic. If it's something that bothers you, they don't look great when the bulbs aren't actually on.",TRUE
My son loves these; they are super cute and do lots of neat little things when you push them.,TRUE
"Thicker Than Water ~  Wow!  Not just a saying but life experience and TRUTH!  I always wondered about the 'why' of two people raised in the same family, and yet turning out very differently and I am intrigued by the experiences people have and how they perceive them.  How far would you go for a loved one when that person is in unbearable pain? Is letting go of them considered mercy, or indifference?
Great questions indeed!  This book takes a look into what drives us as human beings and why we do the things we do.  Terrific, meaningful, quick read!",TRUE
"This is a great mystery, and an entertaining read.  I will keep my eyes peeled for the next book by B.B. King.  The characters are well developed, and the story is well told.  I would highly recommend this book.This book is excellent.  The authors are a brilliant author.  I read them several times over the years.  I really enjoyed this one.  This book is a must read for any young adult.  I would recommend it to anyone who is into young adult fiction.I absolutely loved this book.  I was just so excited to read it and read it again.  It was a wonderful story.  It is filled with characters that are likable and I enjoyed the way they",FALSE
"Pretty creepy movie, but good. I had never heard of it but my ex-husband insisted we watch it. I'm glad we did it was good.",TRUE
"Update 12/28/15 - We've had this set for a few months now and it's just the right size. It's not the best quality, but it is the right size. The only thing that I do think is going to be a problem for a few years is to purchase the cheaper ones. We have 2 kids and love the plushie.  The items on this set are really cute.We got this for our Granddaughters 2nd birthday and they love it.  It's very light weight and is very easy to use.  I love that it has a ""stiff"" feel to it and that it is really easy to put together.  I also like that it is fairly easy",FALSE
